y_hat,y_hat_sigma,y_true
0.25217718,0.047403462,0.0
0.7523151,0.056860607,0.0
0.1527385,0.04303221,0.0
0.45499405,0.078274816,0.0
0.94349277,0.01762798,1.0
0.7685562,0.053632703,1.0
0.17824923,0.04399331,0.0
0.5301612,0.086676,1.0
0.92895997,0.022465236,1.0
0.08112634,0.0268763,0.0
0.3068103,0.07278919,1.0
0.13955544,0.042713765,0.0
0.47095737,0.073531635,0.0
0.9581978,0.014044827,1.0
0.10255708,0.03406403,0.0
0.9607127,0.015050477,1.0
0.4865715,0.08010304,0.0
0.2658722,0.07153612,1.0
0.14452673,0.026015138,1.0
0.3819291,0.08898222,0.0
0.06318595,0.021366652,0.0
0.9815366,0.008734529,1.0
0.22689731,0.0577742,0.0
0.50479704,0.08291938,0.0
0.07600326,0.02534071,0.0
0.23319936,0.09008828,0.0
0.55439246,0.058248553,0.0
0.29767436,0.08214713,0.0
0.6961407,0.059733607,1.0
0.15690544,0.02695886,0.0
0.31663033,0.08215953,0.0
0.13700683,0.024924738,0.0
0.6631524,0.07029707,1.0
0.95288575,0.015738636,1.0
0.26281837,0.059533454,0.0
0.46710292,0.092268914,0.0
0.91511565,0.027415356,1.0
0.800238,0.041132,1.0
0.14450474,0.061154693,0.0
0.12757277,0.023603909,0.0
0.41336372,0.060518388,1.0
0.598267,0.07748094,1.0
0.5261164,0.07857714,1.0
0.36022088,0.073983505,0.0
0.15933101,0.04864523,0.0
0.034147207,0.01620088,0.0
0.16695508,0.044729058,0.0
0.9896292,0.0046467124,1.0
0.31703907,0.057195194,0.0
0.919175,0.021968853,1.0
0.7484954,0.055804666,1.0
0.9446396,0.017428305,1.0
0.11175386,0.021206135,0.0
0.96182305,0.011309557,1.0
0.26516065,0.063428864,0.0
0.3739209,0.076963864,0.0
0.9634635,0.011836959,1.0
0.9390655,0.019356893,1.0
0.34631303,0.10058152,1.0
0.21763071,0.04849715,1.0
0.6584516,0.069746226,0.0
0.8660136,0.03984352,1.0
0.3360725,0.11061596,1.0
0.29940897,0.06770484,0.0
0.6825037,0.09842498,1.0
0.107634865,0.03294254,0.0
0.9614261,0.0139064565,1.0
0.7929894,0.047792085,1.0
0.53661096,0.08719399,1.0
0.5796966,0.1164528,1.0
0.3627844,0.090370245,0.0
0.8780657,0.034583252,1.0
0.052806377,0.01467399,0.0
0.07637572,0.026266111,1.0
0.3212913,0.06672403,0.0
0.57666,0.0782444,1.0
0.1419561,0.042462174,0.0
0.9441201,0.022361571,1.0
0.78601736,0.060747813,0.0
0.14554146,0.027081337,1.0
0.23802851,0.037598014,1.0
0.3150884,0.07079797,0.0
0.90905696,0.02790487,1.0
0.12452954,0.026714202,0.0
0.545076,0.08714706,1.0
0.067453116,0.02345179,0.0
0.49796337,0.085330844,0.0
0.85168874,0.041474488,1.0
0.8706241,0.029531272,0.0
0.8999915,0.025380423,1.0
0.13935862,0.032266535,0.0
0.9295295,0.023418155,0.0
0.23018177,0.058658123,0.0
0.3036099,0.07190828,0.0
0.98985744,0.0054827104,1.0
0.8764785,0.031059708,1.0
0.096462384,0.029545631,1.0
0.72734356,0.070776284,1.0
0.6270691,0.07464924,0.0
0.45319206,0.089306556,1.0
0.8079586,0.06264967,0.0
0.9782052,0.0089550605,1.0
0.10290478,0.020354597,0.0
0.34934607,0.06567827,0.0
0.59734946,0.08559093,1.0
0.13890776,0.024983555,0.0
0.09277889,0.029708892,0.0
0.14008583,0.025581285,0.0
0.88190293,0.040926892,1.0
0.6591154,0.06432414,1.0
0.49403387,0.08421642,1.0
0.3458154,0.07795803,0.0
0.48684952,0.10849512,1.0
0.31435773,0.06135687,1.0
0.2529217,0.042492427,0.0
0.86659366,0.037971776,1.0
0.20797348,0.05714976,1.0
0.7747018,0.05151049,1.0
0.8588582,0.03820628,1.0
0.06875175,0.023820598,1.0
0.13772476,0.024442548,0.0
0.95321864,0.016044203,1.0
0.97726643,0.01075362,1.0
0.1637816,0.02822105,0.0
0.7334169,0.059009694,1.0
0.62009406,0.08952554,0.0
0.46854395,0.08633511,1.0
0.13779402,0.03698399,0.0
0.87544227,0.03425653,1.0
0.7994954,0.05993425,1.0
0.07370947,0.026779652,0.0
0.7834217,0.06336058,1.0
0.9107866,0.035852246,1.0
0.91142684,0.030844493,1.0
0.8888389,0.027906056,1.0
0.73571986,0.06303451,0.0
0.2581266,0.046757158,0.0
0.18672158,0.055818755,1.0
0.32235712,0.09407967,0.0
0.54429483,0.09682047,1.0
0.7273198,0.06611827,1.0
0.92487717,0.029860226,1.0
0.9189921,0.03312852,0.0
0.14058352,0.046375882,0.0
0.17785649,0.0371558,0.0
0.9509963,0.014365988,1.0
0.12312194,0.024529973,0.0
