y_hat,y_hat_sigma,y_true,y_hat_mlp,y_true_mlp
0.22015093,0.038746003,0.0,0.16060475,0.0
0.7084983,0.06165155,0.0,0.80408245,0.0
0.1535202,0.041974943,0.0,0.043980252,0.0
0.47833285,0.07263988,0.0,0.72476673,0.0
0.95088476,0.01708405,1.0,0.9629681,1.0
0.7412098,0.052884948,1.0,0.91915727,1.0
0.17325136,0.048957765,0.0,0.048694316,0.0
0.5139016,0.08983057,1.0,0.17982368,1.0
0.93080986,0.022009285,1.0,0.9981244,1.0
0.089195,0.025398346,0.0,0.16229056,0.0
0.28681338,0.06726774,1.0,0.59984595,1.0
0.13077758,0.03820379,0.0,0.01982671,0.0
0.47645092,0.072599076,0.0,0.64245194,0.0
0.94713724,0.017876001,1.0,0.98959666,1.0
0.08346118,0.028532023,0.0,0.0129917255,0.0
0.9718008,0.011231371,1.0,0.99881005,1.0
0.48940942,0.077205084,0.0,0.48060855,0.0
0.3154403,0.063844465,1.0,0.108373,1.0
0.13086154,0.024500372,1.0,0.048121598,1.0
0.3280893,0.07868493,0.0,0.23658922,0.0
0.06555786,0.022354634,0.0,0.33866,0.0
0.98285145,0.007768543,1.0,0.9357594,1.0
0.23355772,0.0530293,0.0,0.35965955,0.0
0.5008908,0.08215027,0.0,0.40282673,0.0
0.07850014,0.026562931,0.0,0.34179503,0.0
0.23679656,0.08304892,0.0,0.33673277,0.0
0.4790094,0.052519433,0.0,0.8372663,0.0
0.31198496,0.08096962,0.0,0.2545048,0.0
0.70997584,0.05802542,1.0,0.702214,1.0
0.14538738,0.026668461,0.0,0.2513913,0.0
0.32668513,0.08067417,0.0,0.30984068,0.0
0.1255706,0.02422714,0.0,0.26610255,0.0
0.71182406,0.07006615,1.0,0.65702194,1.0
0.9571313,0.015304132,1.0,0.98740965,1.0
0.25817382,0.05474836,0.0,0.5834025,0.0
0.5225458,0.09516897,0.0,0.13316944,0.0
0.8976613,0.029652407,1.0,0.5162737,1.0
0.8255374,0.036753576,1.0,0.93742675,1.0
0.102227606,0.03384375,0.0,0.43765295,0.0
0.11735739,0.022327725,0.0,0.21469185,0.0
0.39031816,0.06456237,1.0,0.7758988,1.0
0.5504192,0.08016699,1.0,0.6477138,1.0
0.5309771,0.08763473,1.0,0.24160242,1.0
